nces_id,cds_id,fips_code,county_code,District  Name,County Name,school_count,Total Enrollment ,Total Enrollment,enroll_es,enroll_ms,enroll_hs,race_hisp,race_afam,race_white,av,urban,suburban,Rural District,AV Per Student,AV Quintile,frpm_total,FRPM Share,Region Code,Nonwhite share,Black Share,Hispanic  Share,UN_LA,un_la_amount,UN_55,un_55_amount,SAB Unfunded, SAB Unfunded $ ,Bond on 11/2016,Bond $ 11/2016,cds_county,enrollgrowth,enrollgrowth_pct,perschoolpop,Bond Passed 11/2016,Bond Passed $  6/2016,Bond $ 6/2016,Bond Passed 6/2016,Bond Passed $  6/2016,Bond in 2015,Bond $ 2015,Bond Passed 2015,Bond in 2014,Bond $ 2014,Bond Passed 2014,,
620640,61903,6017,9,Lake Tahoe Unified,El Dorado,9,3881,3881,2226,545,1110,1634,33,1888,5839000000,0,0,0,1504458,4,2360,0.61,5,0.52,0.01,0.43,1,1349545,0,,1,"1,349,545",0,,9,-2007,-0.34237462,481.875,,0,,,0,,,,,,,,
621180,61911,6017,9,Latrobe,El Dorado,3,123,123,95,28,0,10,0,98,761300000,0,0,1,6189778,5,3,0.02,5,0.16,0,0.07,0,,0,,0,,0,,9,-29,-0.18238993,65,,0,,,0,,,,,,,,
625980,61929,6017,9,Mother Lode Union Elementary,El Dorado,3,1088,1088,869,219,0,350,6,670,1656000000,0,0,0,1521926,4,575,0.52,5,0.36,0.01,0.3,0,,0,,0,,0,,9,-590,-0.3480826,368.33334,,0,7800000,1,7800000,,,,,,,,
630480,61945,6017,9,Pioneer Union Elementary,El Dorado,4,292,292,220,72,0,48,0,210,630800000,0,0,1,2160387,5,,,,,,,0,,0,,0,,0,,,,,,,0,,,0,,,,,,,,
630780,61952,6017,9,Placerville Union Elementary,El Dorado,4,1249,1249,1012,237,0,347,5,796,1283000000,0,0,0,1027133,3,697,0.55,5,0.35,0,0.27,0,,0,,0,,0,,9,-99,-0.072901323,314.75,,0,,,0,1,3200000,1,,,,,
631290,61960,6017,9,Pollock Pines Elementary,El Dorado,3,706,706,557,149,0,109,8,557,806500000,0,0,0,1142374,4,370,0.52,5,0.19,0.02,0.14,0,,0,,0,,0,,9,-363,-0.33767441,237.33333,,0,,,0,,,,,,,,
632310,61978,6017,9,Rescue Union Elementary,El Dorado,8,3700,3700,2762,938,0,554,20,2670,4510000000,0,1,0,1218902,4,525,0.14,5,0.28,0.01,0.15,0,,0,,0,,0,,9,826,0.28028503,471.625,,0,,,0,,,,,,,,
636810,61986,6017,9,Silver Fork Elementary,El Dorado,2,,9,4,5,0,0,0,9,108900000,0,0,1,12100000,5,10,0.71,5,0.07,0,0,0,,0,,0,,0,,9,-10,-0.41666666,14,,0,,,0,,,,,,,,
602370,61994,6019,10,Alvina Elementary,Fresno,2,171,171,129,42,0,137,0,27,64733396,0,0,1,378558,1,143,0.82,2,0.83,0,0.79,0,,0,,0,,0,,10,13,0.08024691,175,,0,,,0,,,,,,,,
604860,62026,6019,10,Big Creek Elementary,Fresno,2,,51,42,9,0,17,0,33,333400000,0,0,1,6536479,5,17,0.26,2,0.37,0,0.34,0,,0,,0,,0,,10,-45,-0.40909091,65,,0,,,0,,,,,,,,
